baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000008283.14 65530.4845566435 -5.60190266913055 0.138575851442464 -40.4248114719789 0 0
ENSG00000012223.11 13935.6240236898 8.43456311664557 0.208895161663101 40.3770151950602 0 0
ENSG00000016391.9 600.802765030878 4.98490942267233 0.113574107340209 43.8912489775522 0 0
ENSG00000017483.13 1426.58263647286 5.42257312191834 0.13612843304023 39.8342433010728 0 0
ENSG00000043355.9 265.099317974206 10.1457559262482 0.207657623307176 48.8580951889265 0 0
ENSG00000046653.13 21235.8926456773 5.70724477197111 0.147999810239436 38.5625141190239 0 0
ENSG00000056736.8 714.541387051562 3.39848381911266 0.0808728648596111 42.0225476742064 0 0
ENSG00000064787.11 1704.53091789325 7.53789621834048 0.1944495663539 38.7653022821427 0 0
ENSG00000064886.12 7420.71611161559 11.3859631875062 0.190008749178938 59.9233626699138 0 0
ENSG00000079215.12 20243.8507124744 7.31862018559595 0.120078188275861 60.9487892071004 0 0
ENSG00000084453.15 267.177977527038 9.41982121413542 0.234071490188544 40.2433513220588 0 0
ENSG00000091513.13 3416.79613669638 6.67587885673766 0.163807118727621 40.7545099907308 0 0
ENSG00000100003.16 1790.56055940085 4.30447779612511 0.112570396052722 38.2380976443319 0 0
ENSG00000100427.14 9972.89742233817 10.9793927812113 0.144832167125933 75.8076952039571 0 0
ENSG00000101003.9 565.725104815682 3.78647580151063 0.0848313856812907 44.6353171187881 0 0
ENSG00000106278.10 32827.7621591523 7.56087775486216 0.194363442839425 38.9007194172242 0 0
ENSG00000112333.10 455.065568182531 8.6118763780819 0.19592484174319 43.954999792063 0 0
ENSG00000112531.15 15036.4327642233 3.63020058702805 0.069331913969105 52.3597342004102 0 0
ENSG00000114646.8 3998.45160769074 4.68736368547703 0.122003415840083 38.4199381074791 0 0
ENSG00000116745.6 284.768082653114 8.18961283542508 0.195092972977256 41.9780000809144 0 0
ENSG00000117115.11 2920.80708105279 5.99280243375591 0.139997456500142 42.8065093721887 0 0
ENSG00000119408.15 2643.22836641168 4.42576405168697 0.104479249362041 42.3602206056327 0 0
